id,name,description
30,Luminism,"Luminism is an American landscape painting style of the 1850s to 1870s, characterized by effects of light in landscape, through the use of aerial perspective and the concealment of visible brushstrokes. Luminist landscapes emphasize tranquility, and often depict calm, reflective water and a soft, hazy sky. Artists who were most central to the development of the luminist style include Fitz Hugh Lane, Martin Johnson Heade, Sanford Gifford, and John F. Kensett.[1] Painters with a less clear affiliation include Frederic Edwin Church, Jasper Cropsey, Albert Bierstadt, Worthington Whittredge, Raymond Dabb Yelland, Alfred Thompson Bricher, James Augustus Suydam, and David Johnson.[2] Some precursor artists are George Harvey and Robert Salmon."
31,Expressionism,"Expressionism is a modernist movement, initially in poetry and painting, originating in Northern Europe around the beginning of the 20th century. Its typical trait is to present the world solely from a subjective perspective, distorting it radically for emotional effect in order to evoke moods or ideas.[1][2] Expressionist artists have sought to express the meaning[3] of emotional experience rather than physical reality.[3][4]

Expressionism developed as an avant-garde style before the First World War. It remained popular during the Weimar Republic,[1] particularly in Berlin. The style extended to a wide range of the arts, including expressionist architecture, painting, literature, theatre, dance, film and music.[5]

The term is sometimes suggestive of angst. In a historical sense, much older painters such as Matthias Grünewald and El Greco are sometimes termed expressionist, though the term is applied mainly to 20th-century works. The Expressionist emphasis on individual and subjective perspective has been characterized as a reaction to positivism and other artistic styles such as Naturalism and Impressionism.["
32,Dutch Golden Age,"Dutch Golden Age painting is the painting of the Dutch Golden Age, a period in Dutch history roughly spanning the 17th century,[1] during and after the later part of the Eighty Years' War (1568–1648) for Dutch independence.

The new Dutch Republic was the most prosperous nation in Europe and led European trade, science, and art. The northern Netherlandish provinces that made up the new state had traditionally been less important artistic centres than cities in Flanders in the south. The upheavals and large-scale transfers of population of the war, and the sharp break with the old monarchist and Catholic cultural traditions, meant that Dutch art had to reinvent itself almost entirely, a task in which it was very largely successful. The painting of religious subjects declined very sharply, but a large new market for all kinds of secular subjects grew up.

Although Dutch painting of the Golden Age is included in the general European period of Baroque painting, and often shows many of its characteristics, most lacks the idealization and love of splendour typical of much Baroque work, including that of neighbouring Flanders. Most work, including that for which the period is best known, reflects the traditions of detailed realism inherited from Early Netherlandish painting. A distinctive feature of the period is the proliferation of distinct genres of paintings,[2] with the majority of artists producing the bulk of their work within one of these. The full development of this specialization is seen from the late 1620s, and the period from then until the French invasion of 1672 is the core of Golden Age painting. Artists would spend most of their careers painting only portraits, genre scenes, landscapes, seascapes and ships, or still lifes, and often a particular sub-type within these categories. Many of these types of subject were new in Western painting, and the way the Dutch painted them in this period was decisive for their future development."
33,Heidelberg School,"The Heidelberg School was an Australian art movement of the late 19th century. It has been described as Australian impressionism.[1]

Melbourne art critic Sidney Dickinson coined the term in an 1891 review of works by Arthur Streeton and Walter Withers, two local artists who painted en plein air in Heidelberg on the city's rural outskirts. The term has since evolved to cover painters who worked together at ""artists' camps"" around Melbourne and Sydney in the 1880s and 1890s. Along with Streeton and Withers, Tom Roberts, Charles Conder and Frederick McCubbin are considered key figures of the movement. Drawing on naturalist and impressionist ideas, they sought to capture Australian life, the bush, and the harsh sunlight that typifies the country.

The movement emerged at a time of strong nationalist sentiment in Australia, then a group of colonies on the cusp of federating. The artists' paintings, not unlike the bush poems of the Bulletin School, were celebrated for being distinctly Australian in character, and by the early 20th century, critics had come to identify the movement as the beginning of an Australian tradition in Western art. Many of their most recognisable works can be seen in Australia's major public galleries, including the National Gallery of Australia, the National Gallery of Victoria and the Art Gallery of New South Wales."
34,Pointillism,"Pointillism (/ˈpwæ̃tɪlɪzəm/, also US: /ˈpwɑːn-ˌ ˈpɔɪn-/)[1] is a technique of painting in which small, distinct dots of color are applied in patterns to form an image.

Georges Seurat and Paul Signac developed the technique in 1886, branching from Impressionism. The term ""Pointillism"" was coined by art critics in the late 1880s to ridicule the works of these artists, but is now used without its earlier pejorative connotation.[2] The movement Seurat began with this technique is known as Neo-impressionism. The Divisionists used a similar technique of patterns to form images, though with larger cube-like brushstrokes."
35,Utagawa School,"The Utagawa school (歌川派) was one of the main schools of ukiyo-e, founded by Utagawa Toyoharu. It was the largest ukiyo-e school of its period. The main styles were bijin-ga (beautiful women) and uki-e (perspective picture). His pupil, Toyokuni I, took over after Toyoharu's death and led the group to become the most famous and powerful woodblock print school for the remainder of the 19th century.

Hiroshige,[1] Kunisada, Kuniyoshi and Yoshitoshi were Utagawa students. The school became so successful and well known that today more than half of all surviving ukiyo-e prints are from it.

Founder Toyoharu adopted Western-style deep perspective, an innovation in Japanese art. His immediate followers, Utagawa Toyohiro and Toyokuni adopted bolder, more sensuous styles than Toyoharu and specialized in different genres — Toyohiro in landscapes and Toyokuni in kabuki actor prints. Later artists in the school specialized in other genres, such as warrior prints and mythic parodies."
36,Purismo,"Purismo was an Italian cultural movement which began in the 1820s. The group intended to restore and preserve language through the study of medieval authors, and such study extended to the visual arts.

Inspired by the Nazarenes from Germany, the artists of Purismo reject Neoclassicism and emulated the works of Raphael, Giotto and Fra Angelico. The movement flourished through 1860, and reflected the taste for revivalist styles, which in Italy was fed growing interest in Italian national identity and artistic heritage."
37,Vienna Secession,"The Vienna Secession (German: Wiener Secession; also known as the Union of Austrian Artists, or Vereinigung Bildender Künstler Österreichs) is an art movement, closely related to Art Nouveau, that was formed in 1897 by a group of Austrian painters, graphic artists, sculptors and architects, including Josef Hoffman, Koloman Moser, Otto Wagner and Gustav Klimt. They resigned from the Association of Austrian Artists in protest against its support for more traditional artistic styles. Their most influential architectural work was the Secession Building designed by Joseph Maria Olbrich as a venue for expositions of the group. Their official magazine was called Ver Sacrum (Sacred Spring, in Latin), which published highly stylised and influential works of graphic art. In 1905 the group itself split, when some of the most prominent members, including Klimt, Wagner, and Hoffmann, resigned in a dispute over priorities, but it continued to function, and still functions today,[when?] from its headquarters in the Secession Building. In its current[when?] form, the Secession exhibition gallery is independently led and managed by artists."
38,Suprematism,"Suprematism (Russian: Супремати́зм) is an early twentieth-century art movement focused on the fundamentals of geometry (circles, squares, rectangles), painted in a limited range of colors. The term suprematism refers to an abstract art based upon ""the supremacy of pure artistic feeling"" rather than on visual depiction of objects.[1]

Founded by Russian artist Kazimir Malevich in 1913,[2] Supremus (Russian: Супремус) conceived of the artist as liberated from everything that pre-determined the ideal structure of life and art.[3] Projecting that vision onto Cubism, which Malevich admired for its ability to deconstruct art, and in the process change its reference points of art,[4] he led a group of Ukrainian and Russian avant-garde artists — including Aleksandra Ekster,[5] Liubov Popova, Olga Rozanova, Ivan Kliun, Ivan Puni, Nadezhda Udaltsova, Nina Genke-Meller, Ksenia Boguslavskaya and others[6] — in what's been described as the first attempt to independently found a Ukrainian avant-garde movement, seceding from the trajectory of prior Russian art history.[4]

To support the movement, Malevich established the journal Supremus (initially titled Nul or Nothing), which received contributions from artists and philosophers.[7] The publication, however, never took off and its first issue was never distributed due to the Russian Revolution.[7] The movement itself, however, was announced in Malevich's 1915 Last Futurist Exhibition of Paintings 0,10, in St. Petersburg, where he, and several others in his group, exhibited 36 works in a similar style."
39,Primitivism,"In the arts of the Western World, Primitivism is a mode of aesthetic idealization that means to recreate the experience of the primitive time, place, and person, either by emulation or by recreation. In Western philosophy, Primitivism proposes that the people of a primitive society possess a Morality and an ethics that are superior to the urban value system of civilized people; thus, in art and in philosophy, Primitivism is nostalgia for a non-existent golden age in the Garden of Eden.[1]

In European art, the aesthetics of primitivism included techniques, motifs, and styles copied from the arts of Asian, African, and Australasian peoples perceived as primitive in relation to the urban civilization of western Europe. In that light, the painter Paul Gauguin's inclusion of Tahitian imagery to his oil paintings was a characteristic borrowing of technique, motif, and style that was important to the development of Modern art (1860s–1970s) in the late 19th century.[2] As a genre of Western art, Primitivism reproduced and perpetuated racist stereotypes, such as “The Noble Savage”, with which colonialists justified white colonial rule over the non-white Other in Asia, Africa, and Australasia.[3]

Moreover, the term primitivism also identifies the techniques, motifs, and styles of painting that predominated representational painting before the emergence of the Avant-garde; and also identifies the styles of Naïve art and of folk art produced by amateur artists, such as Henri Rousseau, who painted for personal pleasure."
40,Surrealism,"Surrealism is a cultural movement that developed in Europe in the aftermath of World War I in which artists depicted unnerving, illogical scenes and developed techniques to allow the unconscious mind to express itself.[1] Its aim was, according to leader André Breton, to ""resolve the previously contradictory conditions of dream and reality into an absolute reality, a super-reality"", or surreality.[2][3][4] It produced works of painting, writing, theatre, filmmaking, photography, and other media.

Works of Surrealism feature the element of surprise, unexpected juxtapositions and non sequitur. However, many Surrealist artists and writers regard their work as an expression of the philosophical movement first and foremost (for instance, of the ""pure psychic automatism"" Breton speaks of in the first Surrealist Manifesto), with the works themselves being secondary, i.e., artifacts of surrealist experimentation.[5] Leader Breton was explicit in his assertion that Surrealism was, above all, a revolutionary movement. At the time, the movement was associated with political causes such as communism and anarchism. It was influenced by the Dada movement of the 1910s.[6]

The term ""Surrealism"" originated with Guillaume Apollinaire in 1917.[7][8] However, the Surrealist movement was not officially established until after October 1924, when the Surrealist Manifesto published by French poet and critic André Breton succeeded in claiming the term for his group over a rival faction led by Yvan Goll, who had published his own surrealist manifesto two weeks prior.[9] The most important center of the movement was Paris, France. From the 1920s onward, the movement spread around the globe, impacting the visual arts, literature, film, and music of many countries and languages, as well as political thought and practice, philosophy, and social theory.
"
41,Aestheticism,"Aestheticism (also the Aesthetic movement) was an art movement in the late 19th century which privileged the aesthetic value of literature, music and the arts over their socio-political functions.[1][2] According to Aestheticism, art should be produced to be beautiful, rather than to serve a moral, allegorical, or other didactic purpose, a sentiment exemplified by the slogan ""art for art's sake."" Aestheticism originated in 1860s England with a radical group of artists and designers, including William Morris and Dante Gabriel Rossetti. It flourished in the 1870s and 1880s, gaining prominence and the support of notable writers such as Walter Pater and Oscar Wilde.

Aestheticism challenged the values of mainstream Victorian culture, as many Victorians believed that literature and art fulfilled important ethical roles.[3] Writing in The Guardian, Fiona McCarthy states that ""the aesthetic movement stood in stark and sometimes shocking contrast to the crass materialism of Britain in the 19th century.""[4]

Aestheticism was named by the critic Walter Hamilton in The Aesthetic Movement in England in 1882.[5] By the 1890s, decadence, a term with origins in common with aestheticism, was in use across Europe."
42,Early Netherlandish,"Early Netherlandish painting, traditionally known as the Flemish Primitives, refers to the work of artists active in the Burgundian and Habsburg Netherlands during the 15th- and 16th-century Northern Renaissance period. It flourished especially in the cities of Bruges, Ghent, Mechelen, Leuven, Tournai and Brussels, all in present-day Belgium. The period begins approximately with Robert Campin and Jan van Eyck in the 1420s and lasts at least until the death of Gerard David in 1523,[1] although many scholars extend it to the start of the Dutch Revolt in 1566 or 1568–Max J. Friedländer's acclaimed surveys run through Pieter Bruegel the Elder. Early Netherlandish painting coincides with the Early and High Italian Renaissance, but the early period (until about 1500) is seen as an independent artistic evolution, separate from the Renaissance humanism that characterised developments in Italy. Beginning in the 1490s, as increasing numbers of Netherlandish and other Northern painters traveled to Italy, Renaissance ideals and painting styles were incorporated into northern painting. As a result, Early Netherlandish painters are often categorised as belonging to both the Northern Renaissance and the Late or International Gothic.

The major Netherlandish painters include Campin, van Eyck, Rogier van der Weyden, Dieric Bouts, Petrus Christus, Hans Memling, Hugo van der Goes and Hieronymus Bosch. These artists made significant advances in natural representation and illusionism, and their work typically features complex iconography. Their subjects are usually religious scenes or small portraits, with narrative painting or mythological subjects being relatively rare. Landscape is often richly described but relegated as a background detail before the early 16th century. The painted works are generally oil on panel, either as single works or more complex portable or fixed altarpieces in the form of diptychs, triptychs or polyptychs. The period is also noted for its sculpture, tapestries, illuminated manuscripts, stained glass and carved retables.

The first generations of artists were active during the height of Burgundian influence in Europe, when the Low Countries became the political and economic centre of Northern Europe, noted for its crafts and luxury goods. Assisted by the workshop system, panels and a variety of crafts were sold to foreign princes or merchants through private engagement or market stalls. A majority of the works were destroyed during waves of iconoclasm in the 16th and 17th centuries; today only a few thousand examples survive.

Early northern art in general was not well regarded from the early 17th to the mid-19th century, and the painters and their works were not well documented until the mid-19th century. Art historians spent almost another century determining attributions, studying iconography, and establishing bare outlines of even the major artists' lives; attribution of some of the most significant works is still debated. Scholarship of Early Netherlandish painting was one of the main activities of 19th- and 20th-century art history, and a major focus of two of the most important art historians of the 20th century: Max J. Friedländer (From Van Eyck to Breugel and Early Netherlandish Painting) and Erwin Panofsky (Early Netherlandish Painting)."
43,Post-Impressionism,"Post-Impressionism (also spelled Postimpressionism) was a predominantly French art movement that developed roughly between 1886 and 1905, from the last Impressionist exhibition to the birth of Fauvism. Post-Impressionism emerged as a reaction against Impressionists' concern for the naturalistic depiction of light and colour. Its broad emphasis on abstract qualities or symbolic content means Post-Impressionism encompasses Les Nabis, Neo-Impressionism, Symbolism, Cloisonnism, the Pont-Aven School, and Synthetism, along with some later Impressionists' work. The movement's principal artists were Paul Cézanne (known as the father of Post-Impressionism), Paul Gauguin, Vincent van Gogh and Georges Seurat.[1]

The term Post-Impressionism was first used by art critic Roger Fry in 1906.[2][3] Critic Frank Rutter in a review of the Salon d'Automne published in Art News, 15 October 1910, described Othon Friesz as a ""post-impressionist leader""; there was also an advert for the show The Post-Impressionists of France.[4] Three weeks later, Roger Fry used the term again when he organised the 1910 exhibition Manet and the Post-Impressionists, defining it as the development of French art since Manet.

Post-Impressionists extended Impressionism while rejecting its limitations: they continued using vivid colours, sometimes using impasto (thick application of paint) and painting from life, but were more inclined to emphasize geometric forms, distort form for expressive effect, and use unnatural or modified colour.
"
44,Impressionism,"Impressionism was a 19th-century art movement characterized by relatively small, thin, yet visible brush strokes, open composition, emphasis on accurate depiction of light in its changing qualities (often accentuating the effects of the passage of time), ordinary subject matter, unusual visual angles, and inclusion of movement as a crucial element of human perception and experience. Impressionism originated with a group of Paris-based artists whose independent exhibitions brought them to prominence during the 1870s and 1880s.

The Impressionists faced harsh opposition from the conventional art community in France. The name of the style derives from the title of a Claude Monet work, Impression, soleil levant (Impression, Sunrise), which provoked the critic Louis Leroy to coin the term in a satirical review published in the Parisian newspaper Le Charivari. The development of Impressionism in the visual arts was soon followed by analogous styles in other media that became known as impressionist music and impressionist literature.
"
45,Futurism,"Futurism (Italian: Futurismo) was an artistic and social movement that originated in Italy, and to a lesser extent in other countries, in the early 20th century. It emphasized dynamism, speed, technology, youth, violence, and objects such as the car, the airplane, and the industrial city. Its key figures included the Italians Filippo Tommaso Marinetti, Umberto Boccioni, Carlo Carrà, Fortunato Depero, Gino Severini, Giacomo Balla, and Luigi Russolo. Italian Futurism glorified modernity and according to its doctrine, aimed to liberate Italy from the weight of its past.[1][page needed] Important Futurist works included Marinetti's 1909 Manifesto of Futurism, Boccioni's 1913 sculpture Unique Forms of Continuity in Space, Balla's 1913–1914 painting Abstract Speed + Sound, and Russolo's The Art of Noises (1913).

Although Futurism was largely an Italian phenomenon, parallel movements emerged in Russia, where some Russian Futurists would later go on to found groups of their own; other countries either had a few Futurists or had movements inspired by Futurism. The Futurists practiced in every medium of art, including painting, sculpture, ceramics, graphic design, industrial design, interior design, urban design, theatre, film, fashion, textiles, literature, music, architecture, and even cooking.

To some extent Futurism influenced the art movements Art Deco, Constructivism, Surrealism, and Dada, and to a greater degree Precisionism, Rayonism, and Vorticism. Passéism [fr] can represent an opposing trend or attitude."
46,Dusseldorf School,"The work of the Düsseldorf School is characterized by finely detailed yet fanciful landscapes, often with religious or allegorical stories set in the landscapes. Major members of the Düsseldorf School advocated ""plein air painting"", and tended to use a palette with relatively subdued and even colors. The Düsseldorf School derived from and was a part of the German Romantic movement. Prominent members of the Düsselorf School included von Schadow, Karl Friedrich Lessing, Johann Wilhelm Schirmer, Andreas Achenbach, Hans Fredrik Gude, Adolph Tidemand, Oswald Achenbach, and Adolf Schrödter.[2]

The Düsseldorf School had a significant influence on the Hudson River School in the United States, and many prominent Americans trained at the Düsseldorf Academy and show the influence of the Düsseldorf School, including George Caleb Bingham, David Edward Cronin, Eastman Johnson, Worthington Whittredge, Richard Caton Woodville, William Stanley Haseltine, James McDougal Hart, Helen Searle, and William Morris Hunt, as well as German émigré Emanuel Leutze. Albert Bierstadt applied but was not accepted. His American friend Worthington Whittredge became his teacher while attending Düsseldorf."
47,Berlin Secession,"The Berlin Secession[1] was an art movement established in Germany on May 2, 1898. Formed in reaction to the Association of Berlin Artists, and the restrictions on contemporary art imposed by Kaiser Wilhelm II, 65 artists ""seceded,"" demonstrating against the standards of academic or government-endorsed art. The movement is classified as a form of German Modernism, and came on the heels of several other secessions in Germany, including Jugendstil and the Munich Secession."
48,Barbizon School,"The Barbizon school of painters were part of an art movement towards Realism in art, which arose in the context of the dominant Romantic Movement of the time. The Barbizon school was active roughly from 1830 through 1870. It takes its name from the village of Barbizon, France, on the edge of the Forest of Fontainebleau, where many of the artists gathered. Most of their works were landscape painting, but several of them also painted landscapes with farmworkers, and genre scenes of village life. Some of the most prominent features of this school are its tonal qualities, color, loose brushwork, and softness of form.[1]

The leaders of the Barbizon school were: Théodore Rousseau, Charles-François Daubigny, Jules Dupré, Constant Troyon, Charles Jacque, and Narcisse Virgilio Díaz. Jean-François Millet lived in Barbizon from 1849, but his interest in figures with a landscape backdrop sets him rather apart from the others. Jean-Baptiste-Camille Corot was the earliest on the scene, first painting in the forest in 1829, but British art historian Harold Osborne suggested that ""his work has a poetic and literary quality which sets him somewhat apart"".[2] Other artists associated with the school, often pupils of the main group, include: Henri Harpignies, Albert Charpin, François-Louis Français, and Émile van Marcke.

Many of the artists were also printmakers, mostly in etching but the group also provided the bulk of the artists using the semiphotographic cliché verre technique. The French etching revival began with the school, in the 1850s."
49,Bauhaus,"The Staatliches Bauhaus (German: [ˈʃtaːtlɪçəs ˈbaʊˌhaʊs] (listen)), commonly known as the Bauhaus (German for 'building house'), was a German art school operational from 1919 to 1933 that combined crafts and the fine arts.[1] The school became famous for its approach to design, which attempted to unify individual artistic vision with the principles of mass production and emphasis on function.[1]

The Bauhaus was founded by architect Walter Gropius in Weimar. It was grounded in the idea of creating a Gesamtkunstwerk (""comprehensive artwork"") in which all the arts would eventually be brought together. The Bauhaus style later became one of the most influential currents in modern design, modernist architecture, and architectural education.[2] The Bauhaus movement had a profound influence upon subsequent developments in art, architecture, graphic design, interior design, industrial design, and typography.[3] Staff at the Bauhaus included prominent artists such as Paul Klee, Wassily Kandinsky, and László Moholy-Nagy at various points.


Bauhaus founder Walter Gropius (1883–1969)
The school existed in three German cities—Weimar, from 1919 to 1925; Dessau, from 1925 to 1932; and Berlin, from 1932 to 1933—under three different architect-directors: Walter Gropius from 1919 to 1928; Hannes Meyer from 1928 to 1930; and Ludwig Mies van der Rohe from 1930 until 1933, when the school was closed by its own leadership under pressure from the Nazi regime, having been painted as a centre of communist intellectualism. Although the school was closed, the staff continued to spread its idealistic precepts as they left Germany and emigrated all over the world.[4]

The changes of venue and leadership resulted in a constant shifting of focus, technique, instructors, and politics. For example, the pottery shop was discontinued when the school moved from Weimar to Dessau, even though it had been an important revenue source; when Mies van der Rohe took over the school in 1930, he transformed it into a private school and would not allow any supporters of Hannes Meyer to attend it."
50,Animalier,"An animalier (/ˌænɪməˈlɪər, ˈænɪməlɪər/, UK also /ˌænɪˈmælieɪ/) is an artist, mainly from the 19th century, who specializes in, or is known for, skill in the realistic portrayal of animals. ""Animal painter"" is the more general term for earlier artists. Although the work may be in any genre or format, the term is most often applied to sculptors and painters.

Animalier as a collective plural noun, or animalier bronzes, is also a term in antiques for small-scale sculptures of animals, of which large numbers were produced, often mass-produced, primarily in 19th-century France and to a lesser extent elsewhere in continental Europe.[1]

Although many earlier examples can be found, animalier sculpture became more popular, and reputable, in early 19th-century Paris with the works of Antoine-Louis Barye (1795–1875), for whom the term was coined, derisively, by critics in 1831,[2][3] and of Émile-Coriolan Guillemin. By the mid-century, a taste for animal subjects was very widespread among all sections of the middle classes."
51,Muralism,"Mexican Muralism refers to an art project funded by the Mexican government in an attempt to reunify the country under the government post-Mexican Revolution. The project was to allow artists to promote political ideas regarding the social revolution that had just recently ended so that viewers may reflect on how pivotal the revolution was in Mexican history. This was accomplished by way of painting murals, large artworks painted onto the wall itself, containing general social and political messages. Beginning in the 1920s, the muralist project was headed by a group of artists known as ""The Big Three"" or ""The Three Greats"".[1] This group was composed of Diego Rivera, José Clemente Orozco and David Alfaro Siqueiros. From the 1920s to the 1970s, many murals with nationalistic, social and political messages were created in many public settings such as chapels, schools, government buildings, and much more. The popularity of the Mexican muralist project started a tradition which continues to this day in Mexico; a tradition that has had a significant impact in other parts of the Americas, including the United States, where it served as inspiration for the Chicano art movement."
52,Orientalism,"In art history, literature and cultural studies, Orientalism is the imitation or depiction of aspects in the Eastern world. These depictions are usually done by writers, designers, and artists from the Western world. In particular, Orientalist painting, depicting more specifically the Middle East,[1] was one of the many specialisms of 19th-century academic art, and the literature of Western countries took a similar interest in Oriental themes.

Since the publication of Edward Said's Orientalism in 1978, much academic discourse has begun to use the term ""Orientalism"" to refer to a general patronizing Western attitude towards Middle Eastern, Asian, and North African societies. In Said's analysis, the West essentializes these societies as static and undeveloped—thereby fabricating a view of Oriental culture that can be studied, depicted, and reproduced in the service of imperial power. Implicit in this fabrication, writes Said, is the idea that Western society is developed, rational, flexible, and superior.[2] This allows Western imagination to see ""Eastern"" cultures and people as both alluring and a threat to Western civilization."
53,Neo-Impressionism,"Neo-Impressionism is a term coined by French art critic Félix Fénéon in 1886 to describe an art movement founded by Georges Seurat. Seurat's most renowned masterpiece, A Sunday Afternoon on the Island of La Grande Jatte, marked the beginning of this movement when it first made its appearance at an exhibition of the Société des Artistes Indépendants (Salon des Indépendants) in Paris.[1] Around this time, the peak of France's modern era emerged and many painters were in search of new methods. Followers of Neo-Impressionism, in particular, were drawn to modern urban scenes as well as landscapes and seashores. Science-based interpretation of lines and colors influenced Neo-Impressionists' characterization of their own contemporary art.[2] The Pointillist and Divisionist techniques are often mentioned in this context, because they were the dominant techniques in the beginning of the Neo-impressionist movement.

Some argue that Neo-Impressionism became the first true avant-garde movement in painting.[3] The Neo-Impressionists were able to create a movement very quickly in the 19th century, partially due to its strong connection to anarchism, which set a pace for later artistic manifestations.[3] The movement and the style were an attempt to drive ""harmonious"" vision from modern science, anarchist theory, and late 19th-century debate around the value of academic art. The artists of the movement ""promised to employ optical and psycho-biological theories in pursuit of a grand synthesis of the ideal and the real, the fugitive and the essential, science and temperament."""
54,Fauvism,"Fauvism /ˈfoʊvɪzm̩/ is the style of les Fauves (French for ""the wild beasts""), a group of early 20th-century modern artists whose works emphasized painterly qualities and strong colour over the representational or realistic values retained by Impressionism. While Fauvism as a style began around 1904 and continued beyond 1910, the movement as such lasted only a few years, 1905–1908, and had three exhibitions.[1][2] The leaders of the movement were André Derain, Maurice de Vlaminck, and Henri Matisse."
